cast,country,directors,genre,original_title,production,rating,release_year,sinopsis,title
"Al Pacino,Robert De Niro,Diane Keaton,Robert Duvall,John Cazale,Lee Strasberg,Talia Shire,Gastone Moschin,Michael V. Gazzo,Marianna Hill,Bruno Kirby,Danny Aiello,Harry Dean Stanton,Troy Donahue,Roger Corman,Morgana King,Joe Spinell,Richard Bright,James Caan,Dominic Chianese,Francesca de Sapio,G.D. Spradlin,Frank Sivero,Oreste Baldini,Tom Rosqui,Leopoldo Trieste,Amerigo Tot,John Aprea,Abe Vigoda,Gianni Russo,Maria Carta,Mario Cotone,Fay Spain,James Murdock,Carmine Caridi,William Bowers,Joseph Della Sorte,Carmen Argenziano,Kathleen Beller,Ignazio Pappalardo,Peter Donat,Tom Dahlgren,Ivonne Coll,Richard Watson,Erica Yohn",Estados Unidos,Francis Ford Coppola,"Drama,Mafia,Crimen,Familia,Años 1910-1919,Años 20,Años 50,Secuela,Precuela,Nochevieja / Año nuevo","The Godfather Part II,","Coppola Co. Production,Francis Ford Coppola,Paramount Pictures","8,9",1974,"Continuación de la historia de los Corleone por medio de dos historias paralelas: la elección de Michael como jefe de los negocios familiares y los orígenes del patriarca, Don Vito Corleone, primero en su Sicilia natal y posteriormente en Estados Unidos, donde, empezando desde abajo, llegó a ser un poderosísimo jefe de la mafia de Nueva York. (FILMAFFINITY)",El padrino. Parte II
"Marlon Brando,Al Pacino,James Caan,Robert Duvall,Diane Keaton,John Cazale,Talia Shire,Richard S. Castellano,Sterling Hayden,Gianni Russo,Rudy Bond,John Marley,Richard Conte,Al Lettieri,Abe Vigoda,Franco Citti,Lenny Montana,Al Martino,Joe Spinell,Simonetta Stefanelli,Morgana King,Alex Rocco,John Martino,Salvatore Corsitto,Richard Bright,Tony Giorgio,Vito Scotti,Jeannie Linero,Julie Gregg,Angelo Infanti,Corrado Gaipa,Saro Urzi,Ardell Sheridan,Victor Rendina,Tere Livrano",Estados Unidos,Francis Ford Coppola,"Drama,Mafia,Crimen,Años 40,Años 50,Familia,Película de culto",The Godfather,"Paramount Pictures,Alfran Productions,Albert S. Ruddy","9,0",1972,"América, años 40. Don Vito Corleone (Marlon Brando) es el respetado y temido jefe de una de las cinco familias de la mafia de Nueva York. Tiene cuatro hijos: Connie (Talia Shire), el impulsivo Sonny (James Caan), el pusilánime Fredo (John Cazale) y Michael (Al Pacino), que no quiere saber nada de los negocios de su padre. Cuando Corleone, en contra de los consejos de 'Il consigliere' Tom Hagen (Robert Duvall), se niega a participar en el negocio de las drogas, el jefe de otra banda ordena su asesinato. Empieza entonces una violenta y cruenta guerra entre las familias mafiosas. (FILMAFFINITY)",El padrino
"Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Jonathan Sagall,Embeth Davidtz,Norbert Weisser,Martin S. Bergmann,Mark Ivanir,Malgorzata Gebel,Shmuel Levy,Michael Schneider,Joachim Paul Assböck,Branko Lustig,Götz Otto",Estados Unidos,Steven Spielberg,"Drama,Nazismo,Holocausto,Basado en hechos reales,II Guerra Mundial",Schindler's List,"Universal Pictures,Amblin Entertainment","8,6",1993,"Oskar Schindler (Liam Neeson), un empresario alemán de gran talento para las relaciones públicas, busca ganarse la simpatía de los nazis de cara a su beneficio personal. Después de la invasión de Polonia por los alemanes en 1939, Schindler consigue, gracias a sus relaciones con los altos jerarcas nazis, la propiedad de una fábrica de Cracovia. Allí emplea a cientos de operarios judíos, cuya explotación le hace prosperar rápidamente, gracias sobre todo a su gerente Itzhak Stern (Ben Kingsley), también judío. Pero conforme la guerra avanza, Schindler y Stern comienzan ser conscientes de que a los judíos que contratan, los salvan de una muerte casi segura en el temible campo de concentración de Plaszow, que lidera el Comandante nazi Amon Goeth (Ralph Fiennes), un hombre cruel que disfruta ejecutando judíos. (FILMAFFINITY)",La lista de Schindler
"Henry Fonda,Lee J. Cobb,Jack Warden,E.G. Marshall,Martin Balsam,Ed Begley,John Fiedler,Robert Webber,Jack Klugman,George Voskovec,Joseph Sweeney,Edward Binns,Billy Nelson,John Savoca,Rudy Bond,James Kelly",Estados Unidos,Sidney Lumet,"Drama,Intriga,Drama judicial / Abogados/as","12 Angry Men,","Metro-Goldwyn-Mayer (MGM),Orion-Nova Productions","8,7",1957,Los doce miembros de un jurado deben juzgar a un adolescente acusado de haber matado a su padre. Todos menos uno están convencidos de la culpabilidad del acusado. El que disiente intenta con sus razonamientos introducir en el debate una duda razonable que haga recapacitar a sus compañeros para que cambien el sentido de su voto. (FILMAFFINITY),Doce hombres sin piedad
"Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester,John Williams,Una O'Connor,Henry Daniell,Norma Varden,Torin Thatcher,Ian Wolfe,Francis Compton",Estados Unidos,Billy Wilder,"Intriga,Drama,Drama judicial / Abogados/as",Witness for the Prosecution,United Artists,"8,6",1957,"Leonard Vole (Tyrone Power), un hombre joven y atractivo, es acusado del asesinato de la señora French, una rica anciana con quien mantenía una relacion de carácter amistoso. El presunto móvil del crimen era la posibilidad de heredar los bienes de la difunta. A pesar de que las pruebas en su contra son demoledoras, Sir Wilfrid Roberts (Charles Laughton), un prestigioso abogado criminalista londinense, se hace cargo de su defensa. (FILMAFFINITY)",Testigo de cargo
"Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,Allan Garcia,Hank Mann,Jack Alexander,Tom Dempsey,Henry Bergman",Estados Unidos,Charles Chaplin,"Comedia,Romance,Cine mudo,Pobreza,Comedia romántica,Comedia dramática,Discapacidad,Discapacidad visual",City Lights,United Artists,"8,6",1931,Un pobre vagabundo (Charles Chaplin) pasa mil y un avatares para conseguir dinero y ayudar a una florista ciega (Virginia Cherrill) de la que se ha enamorado. (FILMAFFINITY),Luces de la ciudad
"Tim Robbins,Morgan Freeman,Bob Gunton,James Whitmore,Gil Bellows,William Sadler,Mark Rolston,Clancy Brown,David Proval,Jeffrey DeMunn,Jude Ciccolella,Don McManus,Alfonso Freeman,Brian Libby,Mack Miles,Frank Medrano,Larry Brandenburg,Neil Giuntoly,Joseph Ragno,Paul McCrane,Renee Blaine,John Horton,Gordon Greene,V.J. Foster,Morgan Lund,Gary Lee Davis,Neil Summers,Ned Bellamy,Joe Pecoraro,Brian Delate,Paul Kennedy,Dorothy Silver,Robert Haley,Dana Snyder,Ken Magee,Bill Bolender,Dion Anderson,James Kisicki,Rohn Thomas,Brian Brophy",Estados Unidos,Frank Darabont,"Drama,Drama carcelario,Amistad,Años 40,Años 50,Película de culto",The Shawshank Redemption,"Castle Rock Entertainment,Columbia Pictures","8,6",1994,"Acusado del asesinato de su mujer, Andrew Dufresne (Tim Robbins), tras ser condenado a cadena perpetua, es enviado a la cárcel de Shawshank. Con el paso de los años conseguirá ganarse la confianza del director del centro y el respeto de sus compañeros de prisión, especialmente de Red (Morgan Freeman), el jefe de la mafia de los sobornos. (FILMAFFINITY)",Cadena perpetua
"Charles Chaplin,Paulette Goddard,Henry Bergman,Chester Conklin,Stanley Stanford,Hank Mann,Louis Natheaux,Allan Garcia",Estados Unidos,Charles Chaplin,"Comedia,Sátira,Comedia dramática,Drama social,Trabajo/empleo,Cine mudo,Película de culto",Modern Times,United Artists,"8,6",1936,"Extenuado por el frenético ritmo de la cadena de montaje, un obrero metalúrgico acaba perdiendo la razón. Después de recuperarse en un hospital, sale y es encarcelado por participar en una manifestación en la que se encontraba por casualidad. En la cárcel, también sin pretenderlo, ayuda a controlar un motín, gracias a lo cual queda en libertad. Una vez fuera, reemprende la lucha por la supervivencia en compañía de una joven huérfana a la que conoce en la calle. (FILMAFFINITY)",Tiempos modernos
"Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner,Henry Daniell,Carter De Haven,Grace Hayle,Maurice Moscovitch,Billy Gilbert",Estados Unidos,Charles Chaplin,"Comedia,Sátira,Nazismo,II Guerra Mundial,Propaganda",The Great Dictator,United Artists,"8,6",1940,"Un humilde barbero judío que combatió con el ejército de Tomania en la Primera Guerra Mundial vuelve a su casa años después del fin del conflicto. Amnésico a causa de un accidente de avión, no recuerda prácticamente nada de su vida pasada, y no conoce la situación política actual del país: Adenoid Hynkel, un dictador fascista y racista, ha llegado al poder y ha iniciado la persecución del pueblo judío, a quien considera responsable de la situación de crisis que vive el país. Paralelamente, Hynkel y sus colaboradores han empezado a preparar una ofensiva militar destinada a la conquista de todo el mundo.",El gran dictador
"John Travolta,Samuel L. Jackson,Uma Thurman,Bruce Willis,Ving Rhames,Harvey Keitel,Tim Roth,Amanda Plummer,María de Medeiros,Eric Stoltz,Rosanna Arquette,Christopher Walken,Paul Calderon,Bronagh Gallagher,Peter Greene,Stephen Hibbert,Angela Jones,Phil LaMarr,Robert Ruth,Julia Sweeney,Quentin Tarantino,Frank Whaley,Duane Whitaker,Steve Buscemi,Burr Steers",Estados Unidos,Quentin Tarantino,"Thriller,Crimen,Historias cruzadas,Película de culto,Comedia negra",Pulp Fiction,"Miramax,A Band Apart,Jersey Films,Lawrence Bender","8,6",1994,"Jules y Vincent, dos asesinos a sueldo con no demasiadas luces, trabajan para el gángster Marsellus Wallace. Vincent le confiesa a Jules que Marsellus le ha pedido que cuide de Mia, su atractiva mujer. Jules le recomienda prudencia porque es muy peligroso sobrepasarse con la novia del jefe. Cuando llega la hora de trabajar, ambos deben ponerse ""manos a la obra"". Su misión: recuperar un misterioso maletín. (FILMAFFINITY)",Pulp Fiction
